"Referentiecode","ReferentieOmslagcode","Sortering","Referentienummer","Omschrijving (verkort)","Omschrijving","D/C","Nivo","ZZP-Belastingdienst pilot ZOL-AWA","Afrek syst","WoCo","BB","ZZP","Agro","WKR","EZ/VOF","BV","WoCo","Bank","OZW","Nivo5","Uitbr5"
"WOvbBugVeg","","R.E.G","8204070","Verkoop goederen","Verkoop goederen","C","4","","","","","1","","","1","","1","","1","",""
"WOvbBugObu","","R.E.H","8204080","Overige baten uit fondsenwerving","Overige baten uit fondsenwerving","C","4","","","","","1","","","1","","1","","1","",""
"WOvbBua","","R.F","8205000","Baten uit acties van derden","Baten uit acties van derden","C","3","","","","","1","","","1","","1","","1","",""
"WOvbBuaCol","","R.F.A","8205010","Collecten","Collecten","C","4","","","","","1","","","1","","1","","1","",""
"WOvbBuaDeg","","R.F.B","8205020","Donaties en giften","Donaties en giften","C","4","","","","","1","","","1","","1","","1","",""
"WOvbBuaCtb","","R.F.C","8205030","Contributies","Contributies","C","4","","","","","1","","","1","","1","","1","",""
"WOvbBuaSpo","","R.F.D","8205040","Sponsoring","Sponsoring","C","4","","","","","1","","","1","","1","","1","",""
"WOvbBuaNal","","R.F.E","8205050","Nalatenschappen","Nalatenschappen","C","4","","","","","1","","","1","","1","","1","",""
"WOvbBuaEle","","R.F.F","8205060","Eigen loterijen en prijsvragen","Eigen loterijen en prijsvragen","C","4","","","","","1","","","1","","1","","1","",""
"WOvbBuaVeg","","R.F.G","8205070","Verkoop goederen","Verkoop goederen","C","4","","","","","1","","","1","","1","","1","",""
"WOvbBuaObu","","R.F.H","8205080","Overige baten uit fondsenwerving","Overige baten uit fondsenwerving","C","4","","","","","1","","","1","","1","","","",""
"WOvbHuo","","R.G","8208000","Huurontvangsten","Huurontvangsten","C","3","","","","","1","","","1","","","","","",""
"WOvbHuoHuo","","R.G.A","8208010","Huurontvangsten","Huurontvangsten baten uit overige activiteiten","C","4","","","","","1","","","1","","","","","",""
"WOvbOps","","R.H","8209000","Opbrengsten servicecontracten","Opbrengsten servicecontracten","C","3","","","","","1","","","1","","","","","",""
"WOvbOpsOps","","R.H.A","8209010","Opbrengsten servicecontracten","Opbrengsten servicecontracten baten uit overige activiteiten","C","4","","","","","1","","","1","","","","","",""
"WOvbCcl","","R.I","8211000","College-, cursus-, les- en examengelden","College-, cursus-, les- en examengelden","C","3","","","","","1","","","1","","","","","",""
"WOvbCclCcl","","R.I.A","8211010","College-, cursus-, les- en examengelden","College-, cursus-, les- en examengelden baten uit overige activiteiten","C","4","","","","","1","","","1","","","","","",""
"WOvbNvv","","R.J","8210000","Netto verkoopresultaat vastgoedportefeuille","Netto verkoopresultaat vastgoedportefeuille","C","3","","","","","1","","","1","","","","","",""
"WOvbNvvNvv","","R.J.A","8210010","Netto verkoopresultaat vastgoedportefeuille","Netto verkoopresultaat vastgoedportefeuille baten uit overige activiteiten","C","4","","","","","1","","","1","","","","","",""
"WOvbBwi","","R.K","8212000","Baten werk in opdracht van derden","Baten werk in opdracht van derden","C","3","","","","","1","","","1","","","","","",""
"WOvbBwiBwi","","R.K.A","8212010","Baten werk in opdracht van derden","Baten werk in opdracht van derden baten uit overige activiteiten","C","4","","","","","1","","","1","","","","","",""
"WOvbOnm","","R.L","8201000","Ontvangen managementvergoeding","Ontvangen managementvergoeding","C","3","","","1","","1","","","1","","","","","",""
"WOvbOnmOnm","","R.L.A","8201010","Ontvangen managementvergoeding","Ontvangen managementvergoeding baten uit overige activiteiten","C","4","","","1","","1","","","1","","","","","",""
"WOvbOdp","","R.M","8202000","Ontvangen doorbelasting personeelskosten","Ontvangen doorbelasting personeelskosten","C","3","","","1","","1","","","1","","","","","",""
"WOvbOdpOdp","","R.M.A","8202010","Ontvangen doorbelasting personeelskosten","Ontvangen doorbelasting personeelskosten baten uit overige activiteiten","C","4","","","1","","1","","","1","","","","","",""
"WOvbOvo","","R.N","8213000","Overige opbrengsten","Overige opbrengsten","C","3","1","","1",""," ","","","","","","","","",""
"WOvbOvoOvo","","R.N.A","8213010","Overige opbrengsten niet elders genoemd","Overige opbrengsten niet elders genoemd baten uit overige activiteiten","C","4","1","","1",""," ","","","","","","","","",""
"WOvbVez","","R.O","8206000","Verzekeringsuitkeringen","Verzekeringsuitkeringen","C","3","","","1","","1","","","","","","","","",""
"WOvbVezUib","","R.O.A","8206010","Uitkering bedrijfsschadeverzekering","Uitkering bedrijfsschadeverzekering verzekeringsuitkeringen","C","4","","","1","","1","","","","","","","","",""
"WOvbVezOvu","","R.O.B","8206020","Overige verzekeringsuitkeringen","Overige verzekeringsuitkeringen verzekeringsuitkeringen","C","4","","","1","","1","","","1","","","","","",""
"WOvbDob","","R.O.C","8207000","Doorberekening overige bedrijfsopbrengsten","Doorberekening overige bedrijfsopbrengsten","C","3","","","1","","1","","","1","","","","","",""
"WOvbDobEvp","","R.O.C010","8207010","Doorberekening overige bedrijfsopbrengsten exploitatie","Doorberekening overige bedrijfsopbrengsten netto resultaat exploitatie vastgoedportefeuille","C","4","","","1","","1","","","1","","","","","",""
"WOvbDobVvo","","R.O.C020","8207020","Doorberekening overige bedrijfsopbrengsten in ontwikkeling","Doorberekening overige bedrijfsopbrengsten netto resultaat verkocht vastgoed in ontwikkeling","C","4","","","1","","1","","","1","","","","","",""
"WOvbDobGrv","","R.O.C030","8207030","Doorberekening overige bedrijfsopbrengsten verkoop","Doorberekening overige bedrijfsopbrengsten netto gerealiseerd resultaat verkoop vastgoedportefeuille","C","4","","","1","","1","","","1","","","","","",""
"WOvbDobWvp","","R.O.C040","8207040","Doorberekening overige bedrijfsopbrengsten waardeverandering","Doorberekening overige bedrijfsopbrengsten waardeveranderingen vastgoedportefeuille","C","4","","","1","","1","","","1","","","","","",""
"WOvbDobOac","","R.O.C050","8207050","Doorberekening overige bedrijfsopbrengsten overige activiteiten","Doorberekening overige bedrijfsopbrengsten netto resultaat overige activiteiten","C","4","","","1","","1","","","1","","","","","",""
"WOvbDobLbh","","R.O.C060","8207060","Doorberekening overige bedrijfsopbrengsten leefbaarheid","Doorberekening overige bedrijfsopbrengsten kosten leefbaarheid","C","4","","","1","","1","","","1","","","","","",""
"WPer","","S","40","Lasten uit hoofde van personeelsbeloningen","Lasten uit hoofde van personeelsbeloningen","D","2","","","1","","1","",""," ","","","",""," ",""
"WPerLes","","S.A","4001000","Lonen en salarissen","Lonen en salarissen","D","3","","","1","","1","",""," ","","","",""," ",""
"WPerLesSld","","S.A.A","4001010","Bezoldiging van bestuurders en gewezen bestuurders","Bezoldiging van bestuurders en gewezen bestuurders lonen en salarissen","D","4","","","1","","1","","","1","","","",""," ",""
"WPerLesSldPbb","","S.A.A010","4001010","Periodiek betaalde beloning van een bestuurder","Periodiek betaalde beloning van een bestuurder lonen en salarissen","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesSldBtb","","S.A.A020","4001010","Beloningen betaalbaar op termijn van een bestuurder","Beloningen betaalbaar op termijn van een bestuurder lonen en salarissen","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesSldUbb","","S.A.A030","4001010","Uitkeringen bij beëindiging van het dienstverband van een bestuurder of commissaris","Uitkeringen bij beëindiging van het dienstverband van een bestuurder of commissaris lonen en salarissen","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesSldWbb","","S.A.A040","4001010","Winstdelingen en bonusbetalingen van een bestuurder","Winstdelingen en bonusbetalingen van een bestuurder lonen en salarissen","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesBvc","","S.A.B","4001020","Bezoldiging van commissarissen en gewezen commissarissen","Bezoldiging van commissarissen en gewezen commissarissen lonen en salarissen","D","4","","","1","","1","","","1","","","",""," ",""
"WPerLesBvcPbc","","S.A.B010","4001020.01","Periodiek betaalde beloning van een commissaris","Periodiek betaalde beloning van een commissaris lonen en salarissen","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesBvcBtc","","S.A.B020","4001020.02","Beloningen betaalbaar op termijn van een commissaris","Beloningen betaalbaar op termijn van een commissaris lonen en salarissen","C","5","","","1","","1","","","1","","","","","1",""
"WPerLesBvcUbc","","S.A.B030","4001020.03","Uitkeringen bij beëindiging van het dienstverband van een commissaris","Uitkeringen bij beëindiging van het dienstverband van een commissaris lonen en salarissen","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesBvcWbc","","S.A.B040","4001020.04","Winstdelingen en bonusbetalingen van een commissaris","Winstdelingen en bonusbetalingen van een commissaris lonen en salarissen","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesBvcKit","","S.A.B050","4001020.05","Kosten intern toezicht","Kosten intern toezicht","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesTep","","S.A.C","4001030","Tantièmes en provisie","Tantièmes en provisie lonen en salarissen","D","4","","","1","","1","","","","","","","","",""
"WPerLesLon","","S.A.D","4001040","Lonen","Lonen en salarissen","D","4","","","1","","1","","","","","","","","",""
"WPerLesLonLon","","S.A.D010","4001040.01","Lonen","Lonen en salarissen","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesLonVvg","","S.A.D020","4001040.02","Lonen vervanging","Lonen vervanging","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesLonCor","","S.A.D030","4001040.03","Lonen salariscorrectie","Lonen salariscorrectie","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesOwe","","S.A.E","4001050","Overwerk","Overwerk lonen en salarissen","D","4","","","1","","1","","","","","","","","",""
"WPerLesOnr","","S.A.F","4001060","Onregelmatigheidstoeslag","Onregelmatigheidstoeslag lonen en salarissen","D","4","","","1","","1","","","","","","","","",""
"WPerLesVag","","S.A.G","4001070","Vakantiebijslag","Vakantiebijslag lonen en salarissen","D","4","","","1","","1","","","","","","","","",""
"WPerLesVagVag","","S.A.G010","4001070.01","Vakantiebijslag","Vakantiebijslag lonen en salarissen","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesVagVld","","S.A.G020","4001070.02","Vakantiebijslag uitbetaling verlofdagen","Vakantiebijslag uitbetaling verlofdagen","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesVagVlu","","S.A.G030","4001070.03","Vakantiebijslag restant verlofuren","Vakantiebijslag restant verlofuren","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesVad","","S.A.H","4001080","Vakantiedagen","Vakantiedagen lonen en salarissen","D","4","","","1","","1","","","","","","","","",""
"WPerLesGra","","S.A.I","4001090","Gratificaties","Gratificaties lonen en salarissen","D","4","","","1","","1","","","","","","","","",""
"WPerLesGraGra","","S.A.I010","4001090.01","Gratificaties","Gratificaties lonen en salarissen","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesGraJuk","","S.A.I020","4001090.02","Jubileumuitkering","Jubileumuitkering","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesLin","","S.A.J","4001100","Lonen in natura","Lonen in natura lonen en salarissen","D","4","","","1","","1","",""," ","","","","","",""
"WPerLesTls","","S.A.K","4001110","Spaarloon","Spaarloon lonen en salarissen","D","4","","","1","","1","","","","","","","","",""
"WPerLesOnu","","S.A.L","4001140","Ontslagvergoedingen","Ontslaguitkeringen lonen en salarissen","D","4","","","1","","1","","","","","","","","",""
"WPerLesLiv","","S.A.M","4001150","Lasten in verband met op aandelen gebaseerde betalingen","Op aandelen gebaseerde betalingen opgenomen onder lonen en salarissen","D","4","","","1","","1","","","","","","","","",""
"WPerLesLoo","","S.A.N","4001120","Loonkostenreductie","Loonkostenreductie lonen en salarissen","C","4","","","1","","1","","","","","","","","",""
"WPerLesOvt","","S.A.O","4001130","Overige toeslagen","Overige toeslagen lonen en salarissen","D","4","","","1","","1","","","","","","","","",""
"WPerLesOlr","","S.A.P","4001160","Overige lonen en salarissen","Overige lonen en salarissen lonen en salarissen","D","4","","","1","","1","","","","","","","","",""
"WPerLesOlrOlr","","S.A.P010","4001160.01","Overige lonen en salarissen","Overige lonen en salarissen lonen en salarissen","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesOlrWpt","","S.A.P020","4001160.02","Overige lonen en salarissen wachtgeld/piket","Overige lonen en salarissen wachtgeld/piket","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesOlrSvg","","S.A.P030","4001160.03","Overige lonen en salarissen stagevergoeding","Overige lonen en salarissen stagevergoeding","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesOlrRvc","","S.A.P040","4001160.04","Overige lonen en salarissen kosten RVC niet salaris","Overige lonen en salarissen kosten RVC niet salaris","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesOlrNtb","","S.A.P050","4001160.05","Overige lonen en salarissen nb/bt","Overige lonen en salarissen nb/bt","D","5","","","1","","1","","","1","","","","","1",""
"WPerLesLks","","S.A.Q","4001170","Loonkostensubsidie (LIV)","Loonkostensubsidie (LIV) lonen en salarissen","C","4","","","1","","1","","","1","","","","","",""
"WPerLesDle","","S.A.Z","4001990","Doorberekende Lonen en salarissen","Doorberekende Lonen en salarissen lonen en salarissen","C","4","","","1","","1","","","","","","","","",""
"WPerSol","","S.B","4002000","Sociale lasten","Sociale lasten","D","3","","","1","","1","","","","","","","","",""
"WPerSolPsv","","S.B.A","4002010","Premies sociale verzekeringen","Premies sociale verzekeringen sociale lasten","D","4","","","1","","1","","","","","","","","",""
"WPerSolBiz","","S.B.C","4002020","Bijdrage ziektekostenverzekering","Bijdrage ziektekostenverzekering sociale lasten","D","4","","","1","","1","","","","","","","","",""
"WPerSolOpr","","S.B.D","4002030","Overige premies","Overige premies sociale lasten","D","4","","","1","","1","","","","","","","","",""
"WPerSolOsf","","S.B.E","4002040","Overige sociale fondsen","Overige sociale fondsen sociale lasten","D","4","","","1","","1","","","","","","","","",""
"WPerSolOss","","S.B.F","4002050","Overige sociale lasten","Overige sociale lasten sociale lasten","D","4","","","1","","1","","","","","","","","",""
"WPerSolOssOss","","S.B.F010","4002050.01","Overige sociale lasten","Overige sociale lasten sociale lasten","D","5","","","1","","1","","","1","","","","","1",""
"WPerSolOssLeh","","S.B.F020","4002050.02","Overige sociale lasten loonheffing eindheffing","Overige sociale lasten loonheffing eindheffing","D","5","","","1","","1","","","1","","","","","1",""
"WPerSolOssPkg","","S.B.F030","4002050.03","Overige sociale lasten premiekortingen","Overige sociale lasten premiekortingen","D","5","","","1","","1","","","1","","","","","1",""
"WPerSolOssRvl","","S.B.F040","4002050.04","Overige sociale lasten restant verlofuren","Overige sociale lasten restant verlofuren","D","5","","","1","","1","","","1","","","","","1",""
"WPerSolOssRvg","","S.B.F050","4002050.05","Overige sociale lasten restant vakantiegeld","Overige sociale lasten restant vakantiegeld","D","5","","","1","","1","","","1","","","","","1",""
"WPerSolOssErd","","S.B.F060","4002060","Eigen risicodragerschap","Eigen risicodragerschap","D","5","","","1","","1","","","1","","","","","1",""
"WPerSolDsl","","S.B.Z","4002990","Doorberekende sociale lasten","Doorberekende sociale lasten sociale lasten","C","4","","","1","","1","","","","","","","","",""
"WPerPen","","S.C","4003000","Pensioenlasten","Pensioenlasten","D","3","","","1","","1","","","","","","","","",""
"WPerPenPen","","S.C.A","4003010","Pensioenpremies","Pensioenpremies pensioenlasten","D","4","","","1","","1","","","","","","","","",""
"WPerPenPenPen","","S.C.A010","4003010.01","Pensioenpremies","Pensioenpremies","D","5","","","1","","1","","","1","","","","","1",""
"WPerPenPenPpe","","S.C.A020","4003010.02","Pensioenpremies PP","Pensioenpremies PP","D","5","","","1","","1","","","1","","","","","1",""
"WPerPenPenOvp","","S.C.A030","4003010.03","Pensioenpremies OVP","Pensioenpremies OVP","D","5","","","1","","1","","","1","","","","","1",""
"WPerPenAap","","S.C.B","4003015","Aanvullende pensioenlasten","Aanvullende pensioenlasten pensioenlasten","D","4","","","1","","1","","","","","","","","",""
"WPerPenAapAap","","S.C.B010","4003015.01","Aanvullende pensioenlasten","Aanvullende pensioenlasten","D","5","","","1","","1","","","1","","","","","1",""
"WPerPenAapWex","","S.C.B020","4003015.02","Aanvullende pensioenlasten WIA excedent","Aanvullende pensioenlasten WIA excedent","D","5","","","1","","1","","","1","","","","","1",""
"WPerPenAapWpp","","S.C.B030","4003015.03","Aanvullende pensioenlasten WIA PP","Aanvullende pensioenlasten WIA PP","D","5","","","1","","1","","","1","","","","","1",""
"WPerPenDpe","","S.C.C","4003020","Dotatie pensioenvoorziening directie","Dotatie pensioenvoorziening directie","D","4","","","1","","1","","","1","","","","","",""
"WPerPenVpv","","S.C.D","4003030","Vrijval pensioenvoorziening directie","Vrijval pensioenvoorziening directie","C","4","","","1","","1","","","1","","","","","",""
"WPerPenDvb","","S.C.E","4003040","Dotatie voorziening backserviceverplichting directie","Dotatie voorziening backserviceverplichting directie","D","4","","","1","","1","","","1","","","","","",""
"WPerPenVvb","","S.C.F","4003050","Vrijval voorziening backserviceverplichting directie","Vrijval voorziening backserviceverplichting directie","C","4","","","1","","1","","","1","","","","","",""
"WPerPenDvl","","S.C.G","4003060","Dotatie voorziening lijfrenteverplichtingen","Dotatie voorziening lijfrenteverplichtingen","D","4","","","1","","1","","","","","","","","",""
"WPerPenVvl","","S.C.H","4003070","Vrijval voorziening lijfrenteverplichtingen","Vrijval voorziening lijfrenteverplichtingen","C","4","","","1","","1","","","","","","","","",""
"WPerPenOpe","","S.C.I","4003080","Overige pensioenlasten","Overige pensioenlasten","D","4","","","1","","1","","","","","","","","",""
"WPerPenOpeOpe","","S.C.I010","4003080.01","Overige pensioenlasten","Overige pensioenlasten","D","5","","","1","","1","","","1","","","","","1",""
"WPerPenOpeFlw","","S.C.I020","4003080.02","Overige pensioenlasten FLOW","Overige pensioenlasten FLOW","D","5","","","1","","1","","","1","","","","","1",""
"WPerPenDon","","S.C.Z","4003990","Doorberekende pensioenlasten","Doorberekende pensioenlasten","C","4","","","1","","1","","","","","","","","",""
"WPerOlu","","S.D","4004008","Overige lasten uit hoofde van personeelsbeloningen","Overige lasten uit hoofde van personeelsbeloningen","D","3","","","1","","1","","","","","","","","",""
"WPerOluOlp","","S.D.A","4004009","Overige lasten met betrekking tot personeelsbeloningen","Overige lasten met betrekking tot personeelsbeloningen overige lasten uit hoofde van personeelsbeloningen","D","4","","","1","","1","","","","","","","","",""
"WAfs","","T","41","Afschrijvingen op immateriële en materiële vaste activa","Afschrijvingen op immateriële en materiële vaste activa","D","2","1","","1",""," ","","","","","","","","",""
"WAfsAiv","","T.A","4101000","Afschrijvingen op immateriële vaste activa","Afschrijvingen op immateriële vaste activa","D","3","1","","1",""," ","","","","","","","","",""
"WAfsAivOek","","T.A.A","4101010","Afschrijvingen kosten van oprichting en van uitgifte van aandelen","Afschrijvingen kosten van oprichting en van uitgifte van aandelen afschrijvingen op immateriële vaste activa","D","4","","","1","","1","","","1","","","","","",""
"WAfsAivKoe","","T.A.B","4101020","Afschrijvingen kosten van ontwikkeling","Afschrijvingen kosten van ontwikkeling afschrijvingen op immateriële vaste activa","D","4","","","1","","1","","","","","","","","",""
"WAfsAivCev","","T.A.C","4101030","Afschrijvingen concessies, vergunningen en intellectuele eigendom","Afschrijvingen concessies, vergunningen en intellectuele eigendom afschrijvingen op immateriële vaste activa","D","4","","","1","","1","","","","","","","","",""
"WAfsAivGoo","","T.A.D","4101070","Afschrijvingen goodwill","Afschrijvingen goodwill afschrijvingen op immateriële vaste activa","D","4","1","","1","","","","","","","","","","",""
"WAfsAivViv","","T.A.E","4101090","Afschrijvingen vooruitbetalingen op immateriële vaste activa","Afschrijvingen vooruitbetalingen op immateriële vaste activa afschrijvingen op immateriële vaste activa","D","4","","","1","","1","","","","","","","","",""
"WAfsAivOiv","","T.A.F","4101100","Afschrijvingen overige immateriële vaste activa","Afschrijvingen overige immateriële vaste activa afschrijvingen op immateriële vaste activa","D","4","","","1","","","","","","","","","","",""
"WAfsAivBou","","T.A.G","4101200","Afschrijvingen bouwclaims","Afschrijvingen bouwclaims","D","4","","","1","","1","","","1","","","","","",""
"WAfsAmv","","T.B","4102000","Afschrijvingen op materiële vaste activa","Afschrijvingen op materiële vaste activa","D","3","1","","1",""," ","","","","","","","","",""
"WAfsAmvAft","","T.B.A","4102005","Afschrijvingen Terreinen","Afschrijvingen Terreinen ","D","4","","","1","","1","","","","","","","","",""
"WAfsAmvBeg","","T.B.B","4102010","Afschrijvingen Bedrijfsgebouwen","Afschrijvingen Bedrijfsgebouwen ","D","4","1","","1","","","","","","","","","","",""
"WAfsAmvHuu","","T.B.C","4102040","Afschrijvingen Huurdersinvesteringen","Afschrijvingen Huurdersinvesteringen ","D","4","",""," ","","1","","","1","","1","1","","",""
"WAfsAmvVeb","","T.B.D","4102020","Afschrijvingen Verbouwingen","Afschrijvingen Verbouwingen ","D","4","","","1","","1","","","","","","","","",""
"WAfsAmvMei","","T.B.E","4102050","Afschrijvingen Machines en installaties","Afschrijvingen Machines en installaties ","D","4","1","","1",""," ","","","","","","","","",""
"WAfsAmvObe","","T.B.F","4102080","Afschrijvingen Andere vaste bedrijfsmiddelen","Afschrijvingen Andere vaste bedrijfsmiddelen ","D","4","1","","1","","","","","","","","","","",""
"WAfsAmvSev","","T.B.G","4102060","Afschrijvingen Vliegtuigen","Afschrijvingen Vliegtuigen ","D","4","","","","","1","","","1","","1","1","","",""
"WAfsAmvAfs","","T.B.H","4102065","Afschrijvingen Schepen","Afschrijvingen Schepen ","D","4","",""," ","","1"," ","","1","","1","1","","",""
"WAfsAmvTev","","T.B.I","4102070","Afschrijvingen Automobielen en overige transportmiddelen","Afschrijvingen Automobielen en overige transportmiddelen ","D","4","1","","1","","1"," ","","","","","","","",""
"WAfsAmvBei","","T.B.J","4102090","Afschrijvingen Inventaris","Afschrijvingen Inventaris ","D","4","","","1","","1","","","","","","","","",""
"WAfsAmvAmp","","T.B.K","4102095","Afschrijvingen Meerjaren plantopstanden","Afschrijvingen Meerjaren plantopstanden ","D","4","","","","","1","1","","","","1","","","",""
"WAfsAmvAfg","","T.B.L","4102096","Afschrijvingen Gebruiksvee","Afschrijvingen Gebruiksvee ","D","4","","","","","1","1","","","","1","","","",""
"WAfsAmvVbi","","T.B.M","4102100","Afschrijvingen Vaste bedrijfsmiddelen in uitvoering","Afschrijvingen Vaste bedrijfsmiddelen in uitvoering ","D","4","","","","","1","","","","","","","","",""
"WAfsAmvAvm","","T.B.N","4102105","Afschrijvingen Vooruitbetalingen op materiële vaste activa","Afschrijvingen Vooruitbetalingen op materiële vaste activa ","D","4","","","","","1","","","","","","","","",""
"WAfsAmvBgm","","T.B.O","4102110","Afschrijvingen Niet aan de bedrijfsuitoefening dienstbare materiële vaste activa","Afschrijvingen Niet aan de bedrijfsuitoefening dienstbare materiële vaste activa ","D","4","","","","","1","","","","","","","","",""
"WAfsAmvOrz","","T.B.P","4102120","Afschrijvingen Onroerende en roerende zaken ten dienste van de exploitatie","Afschrijvingen Onroerende en roerende zaken ten dienste van de exploitatie","D","4","","","1","","1","","","","","","","","",""
"WAfsAfv","","T.C","4103008","Afschrijvingen vastgoed","Afschrijvingen vastgoed","D","3","","","1","","1","","","1","","","","","",""
"WAfsAfvAvo","","T.C.A","4103009","Afschrijvingen vastgoedbeleggingen in ontwikkeling","Afschrijvingen vastgoedbeleggingen in ontwikkeling afschrijvingen vastgoed","D","4","","","1","","1","","","1","","","","","",""
"WAfsAfvAve","","T.C.B","4103010","Afschrijvingen vastgoedbeleggingen in exploitatie","Afschrijvingen vastgoedbeleggingen in exploitatie afschrijvingen vastgoed","D","4","","","1","","1","","","1","","","","","",""
"WAfsRvi","","T.D","4105000","Boekresultaat op immateriële vaste activa","Winsten of verliezen die ontstaan als gevolg van de buitengebruikstelling of afstoting van een immaterieel vast actief","C","3","","","1",""," ","","","","","","","","",""
"WAfsRviOek","","T.D.A","4105010","Boekresultaat kosten van oprichting en van uitgifte van aandelen","Boekresultaat kosten van oprichting en van uitgifte van aandelen boekresultaat op immateriële vaste activa","C","4","","","1","","1","","","1","","","","","",""
"WAfsRviKoe","","T.D.B","4105020","Boekresultaat kosten van ontwikkeling","Boekresultaat kosten van ontwikkeling boekresultaat op immateriële vaste activa","C","4","","","1","","1","","","","","","","","",""
"WAfsRviCev","","T.D.C","4105030","Boekresultaat concessies, vergunningen en intellectuele eigendom","Boekresultaat concessies, vergunningen en intellectuele eigendom boekresultaat op immateriële vaste activa","C","4","","","1","","1","","","","","","","","",""
"WAfsRviGoo","","T.D.D","4105070","Boekresultaat goodwill","Boekresultaat goodwill boekresultaat op immateriële vaste activa","C","4","","","1",""," ","","","","","","","","",""
"WAfsRviViv","","T.D.E","4105090","Boekresultaat vooruitbetalingen op immateriële vaste activa","Boekresultaat vooruitbetalingen op immateriële vaste activa boekresultaat op immateriële vaste activa","C","4","",""," ","","1","","","","","","","","",""
"WAfsRviOiv","","T.D.F","4105100","Boekresultaat overige immateriële vaste activa","Boekresultaat overige immateriële vaste activa boekresultaat op immateriële vaste activa","C","4","","","1",""," ","","","","","","","","",""
"WAfsRviBou","","T.D.G","4105200","Boekresultaat bouwclaims","Boekresultaat bouwclaims boekresultaat op immateriële vaste activa","C","4","","","1","","1","","","","","","","","",""
"WAfsRvm","","T.E","4106000","Boekresultaat op materiële vaste activa","Winsten of verliezen die ontstaan als gevolg van de buitengebruikstelling of afstoting van een materieel vast actief","C","3","","","1",""," ","","","","","","","","",""
"WAfsRvmBrt","","T.E.A","4106005","Boekresultaat Terreinen","Boekresultaat Terreinen boekresultaat op materiële vaste activa","C","4","","","1","","1","","","","","","","","",""
"WAfsRvmBeg","","T.E.B","4106010","Boekresultaat Bedrijfsgebouwen","Boekresultaat Bedrijfsgebouwen boekresultaat op materiële vaste activa","C","4","","","1","","","","","","","","","","",""
"WAfsRvmHuu","","T.E.C","4106040","Boekresultaat Huurdersinvesteringen","Boekresultaat Huurdersinvesteringen boekresultaat op materiële vaste activa","C","4","",""," ","","1","","","1","","1","1","","",""
"WAfsRvmVeb","","T.E.D","4106020","Boekresultaat Verbouwingen","Boekresultaat Verbouwingen boekresultaat op materiële vaste activa","C","4","","","1","","1","","","","","","","","",""
"WAfsRvmMei","","T.E.E","4106050","Boekresultaat Machines en installaties","Boekresultaat Machines en installaties boekresultaat op materiële vaste activa","C","4","","","1",""," ","","","","","","","","",""
"WAfsRvmObe","","T.E.F","4106080","Boekresultaat Andere vaste bedrijfsmiddelen","Boekresultaat Andere vaste bedrijfsmiddelen boekresultaat op materiële vaste activa","C","4","1","","1","","","","","","","","","","",""
"WAfsRvmSev","","T.E.G","4106060","Boekresultaat Vliegtuigen","Boekresultaat Vliegtuigen boekresultaat op materiële vaste activa","C","4","",""," ","","1","","","1","","1","1","","",""
"WAfsRvmSch","","T.E.H","4106065","Boekresultaat Schepen","Boekresultaat Schepen boekresultaat op materiële vaste activa","C","4","",""," ","","1"," ","","1","","1","1","","",""
"WAfsRvmTev","","T.E.I","4106070","Boekresultaat Automobielen en overige transportmiddelen","Boekresultaat Automobielen en overige transportmiddelen boekresultaat op materiële vaste activa","C","4","","","1","","1"," ","","","","","","","",""
"WAfsRvmBei","","T.E.J","4106090","Boekresultaat Inventaris","Boekresultaat Inventaris boekresultaat op materiële vaste activa","C","4","","","1","","1","","","","","","","","",""
"WAfsRvmBmp","","T.E.K","4106095","Boekresultaat Meerjaren plantopstanden","Boekresultaat Meerjaren plantopstanden boekresultaat op materiële vaste activa","C","4","","","","","1","1","","1","","1","","","",""
"WAfsRvmBgv","","T.E.L","4106096","Boekresultaat Gebruiksvee","Boekresultaat Gebruiksvee boekresultaat op materiële vaste activa","C","4","","","","","1","1","","1","","1","","","",""
"WAfsRvmVbi","","T.E.M","4106100","Boekresultaat Vaste bedrijfsmiddelen in uitvoering","Boekresultaat Vaste bedrijfsmiddelen in uitvoering boekresultaat op materiële vaste activa","C","4","","","","","1","","","","","","","","",""
